Métadonnées de session
====================

test_name : squat_side_view
camera_view : side
source : webcam
analysis_side : left
facing_direction_requested : auto
facing_direction_resolved : left
orientation_method : baseline_majority_vote_from_heel_to_foot_index
n_frames_recorded : 334
duration_s : 15.14
visibility_ok_percent : 100.0
visibility_quality : OK
failed_baseline_attempts : 0
baseline_visibility_valid_percent : 100.0
baseline_most_frequent_limiting_marker : none
recording_most_frequent_limiting_marker : none
ankle_internal_angle_baseline_mean_deg : 90.28270717544821
ankle_internal_angle_baseline_std_deg : 1.5814956105841134
ankle_internal_angle_baseline_n : 59
foot_inclination_baseline_mean_deg : 1.8437784780697188
foot_inclination_baseline_std_deg : 1.6098804359878467
foot_inclination_baseline_n : 59
knee_flexion_baseline_mean_deg : 1.9493439278224092
knee_flexion_baseline_std_deg : 0.3302401310127556
knee_flexion_baseline_n : 59
hip_flexion_baseline_mean_deg : -2.6152627585301493
hip_flexion_baseline_std_deg : 0.29698363989207915
hip_flexion_baseline_n : 59
trunk_flexion_baseline_mean_deg : -3.00353538373106
trunk_flexion_baseline_std_deg : 0.25495592528884853
trunk_flexion_baseline_n : 59
ankle_angle_definition : heel_foot_index_axis_vs_ankle_knee_axis
processed_visibility_threshold : 0.5
processed_max_interpolation_gap_s : 0.25
processed_smoothing_window_s : 0.25
knee_angular_velocity_definition : time_derivative_of_filtered_relative_knee_flexion_deg_s
knee_angular_velocity_sign_convention : positive_descent_negative_ascent
processed_status : OK
processed_error : None
segmentation_status : OK
segmentation_error : None
repetitions_detected : 6
segmentation_signal : knee_flexion_filtered_deg
segmentation_min_peak_flexion_deg : 20.0
segmentation_min_peak_prominence_deg : 15.0
segmentation_min_peak_distance_s : 0.75
segmentation_boundary_fraction : 0.1
segmentation_min_quality_percent : 80.0
repetition_metrics_status : OK
repetition_metrics_error : None
sagittal_plot_status : OK
sagittal_plot_error : None
mean_cycle_status : OK
mean_cycle_error : None
mean_cycle_repetitions_included : 6
mean_cycle_normalized_points : 101
mean_cycle_normalization : time_normalized_start_to_end_0_100_percent
mean_cycle_plot_status : OK
mean_cycle_plot_error : None
heel_lift_plot_threshold_deg : 20.0
secondary_ankle_and_foot_metrics : experimental
data_stages : raw_processed_segmented_measured_mean_cycle_and_reported
baseline_shoulder_visibility_mean : 1.0
baseline_shoulder_below_threshold_percent : 0.0
recording_shoulder_visibility_mean : 1.0
recording_shoulder_below_threshold_percent : 0.0
baseline_hip_visibility_mean : 0.999
baseline_hip_below_threshold_percent : 0.0
recording_hip_visibility_mean : 0.999
recording_hip_below_threshold_percent : 0.0
baseline_knee_visibility_mean : 0.92
baseline_knee_below_threshold_percent : 0.0
recording_knee_visibility_mean : 0.947
recording_knee_below_threshold_percent : 0.0
baseline_ankle_visibility_mean : 0.898
baseline_ankle_below_threshold_percent : 0.0
recording_ankle_visibility_mean : 0.958
recording_ankle_below_threshold_percent : 0.0
baseline_heel_visibility_mean : 0.885
baseline_heel_below_threshold_percent : 0.0
recording_heel_visibility_mean : 0.946
recording_heel_below_threshold_percent : 0.0
baseline_foot_index_visibility_mean : 0.885
baseline_foot_index_below_threshold_percent : 0.0
recording_foot_index_visibility_mean : 0.953
recording_foot_index_below_threshold_percent : 0.0
sagittal_report_status : OK
sagittal_report_error : None
